medcodeid,term,snomedctconceptid,snomedctdescriptionid,originalreadcode,cleansedreadcode,observations,emiscodecategoryid
94884017,Acute myocardial infarction,57054005,94884017,G30,G30..00,2008762,32
1780501013,Acute non-ST segment elevation myocardial infarction,401314000,1780501013,G3071,G307100,685257,32
219531000000117,MI - acute myocardial infarction,57054005,94884017,G30-5,G30..15,359080,32
1780491019,Acute ST segment elevation myocardial infarction,401303003,1780491019,G30X0,G30X000,297045,32
299714019,Acute myocardial infarction of inferior wall,73795002,122557015,G308,G308.00,122211,32
299721019,Acute myocardial infarction NOS,57054005,94884017,G30z,G30z.00,74221,32
299709018,Anterior myocardial infarction NOS,54329005,1231324017,G301z,G301z00,31380,32
455641000006112,Acute anterolateral myocardial infarction,70211005,1233238016,G300,G300.00,19526,32
116992017,Acute subendocardial infarction,70422006,116992017,G307,G307.00,13876,32
457531000006110,Acute inferolateral myocardial infarction,65547006,1232697013,G302,G302.00,13392,32
37443015,Heart attack,22298006,37443015,G30-4,G30..14,13390,32
2855301000006112,Myocardial infarction,22298006,37436014,^ESCTMY285530,,10808,32
299707016,Acute anterior myocardial infarction,54329005,1231324017,G301,G301.00,9430,32
884151000006119,Myocardial Infarction,57054005,884151000006119,G30-99,G30..99,7809,32
299710011,Acute posterior myocardial infarction,233838001,350371016,G304,G304.00,6135,32
455651000006114,Acute anteroseptal myocardial infarction,62695002,104192010,G3011,G301100,5879,32
350376014,Silent myocardial infarction,233843008,350376014,G30-7,G30..17,3806,32
1786197015,Coronary thrombosis,398274000,1786197015,G30-2,G30..12,3612,32
299711010,Acute lateral myocardial infarction,58612006,1231860015,G305,G305.00,3586,32
6651391000006114,NSTEMI - Non-ST segment elevation MI,401314000,1787486017,^ESCTNS665139,,3012,32
299718016,Other acute myocardial infarction,57054005,94884017,G30y,G30y.00,2315,32
7571581000006113,Acute anterior ST segment elevation myocardial infarction,703164000,3007817016,^ESCTAC757158,,1973,32
7572321000006112,Acute ST segment elevation myocardial infarction of inferior wall,703213009,3007915011,^ESCTAC757232,,1231,32
6651221000006117,STEMI - ST elevation myocardial infarction,401303003,2840840013,^ESCTST665122,,1168,32
208365015,Postoperative myocardial infarction,129574000,208365015,G38,G38..00,1018,32
3381601000006117,Acute myocardial infarction of anterior wall,54329005,90302019,^ESCTAC338160,,958,32
14132941000006118,Myocardial infarction with non-obstructive coronary artery,879955009,3994016011,^ESCT1413294,,958,32
299808017,Subsequent myocardial infarction,194856005,299808017,G35,G35..00,942,32
884141000006116,Coronary thrombosis,57054005,884141000006116,G30-98,G30..98,938,32
460681000006116,Acute transmural myocardial infarction of unspecif site,57054005,94884017,G30X,G30X.00,773,32
299720018,Other acute myocardial infarction NOS,57054005,94884017,G30yz,G30yz00,692,32
299712015,True posterior myocardial infarction,194802003,299712015,G306,G306.00,589,32
682481000006118,Myocardial infarction aborted,194821006,2619484018,G3110,G311000,450,32
967931000006114,Acute myocardial infarction of posterolateral wall,15990001,27071012,G30B,G30B.00,432,32
299812011,Subsequent myocardial infarction of inferior wall,194858006,299812011,G351,G351.00,285,32
