medcodeid,term,snomedctconceptid,snomedctdescriptionid,originalreadcode,cleansedreadcode,observations,emiscodecategoryid
308753015,Psoriasis,9014002,15886015,M161z,M161z00,2817945,32
308725015,Psoriasis and similar disorders,9014002,15886015,M16,M16..00,697222,32
308732012,Psoriasis unspecified,9014002,15886015,M1610,M161000,376291,32
61797015,Guttate psoriasis,37042000,61797015,M1616,M161600,254948,32
357623013,Scalp psoriasis,238608008,357623013,M16y0,M16y000,248983,32
251784017,H/O: psoriasis,161562002,251784017,14F2,14F2.00,115074,32
308776017,Psoriasis and similar disorders NOS,9014002,15886015,M16z,M16z.00,97548,32
308747015,Pustular psoriasis,200973000,308747015,M161D,M161D00,46266,32
1629311000006117,Chronic large plaque psoriasis,402307000,1781467015,M161F-1,M161F11,43120,32
198791000006112,Plaque psoriasis,200965009,308736010,M1614,M161400,23983,32
308750017,Psoriasis vulgaris,200975007,308750017,M161F,M161F00,13733,32
308745011,Psoriasis plantaris,200971003,308745011,M161B,M161B00,13538,32
308731017,Other psoriasis,9014002,15886015,M161,M161.00,11714,32
483572016,Palmoplantar pustular psoriasis,27520001,483572016,M166,M166.00,11515,32
308744010,Psoriasis palmaris,200970002,308744010,M161A,M161A00,10505,32
1887571000006111,Flexural psoriasis,238600001,357612014,M161J,M161J00,8941,32
14197581000006110,Psoriasis of scalp,238608008,4169972011,^ESCT1419758,,6581,32
2941481000006119,Pustular psoriasis of palms and soles,27520001,483575019,^ESCTPU294148,,5895,32
308752013,Erythrodermic psoriasis,200977004,308752013,M161H,M161H00,4700,32
309331014,[X]Other psoriasis,9014002,15886015,Myu30,Myu3000,4061,32
1583831000006118,Chronic large plaque psoriasis,1583831000006102,1583831000006118,EMISNQCH31,,1315,32
308733019,Psoriasis annularis,200962007,308733019,M1611,M161100,1135,32
308735014,Psoriasis diffusa,200964008,308735014,M1613,M161300,1098,32
5123911000006115,Psoriasis of nail,238604005,357618013,^ESCTPS512391,,526,32
308734013,Psoriasis circinata,200963002,308734013,M1612,M161200,511,32
308749017,Psoriasis universalis,200974006,308749017,M161E,M161E00,445,32
6663551000006115,Chronic small plaque psoriasis,402308005,1781468013,^ESCTCH666355,,278,31
308746012,Psoriasis punctata,200972005,308746012,M161C,M161C00,240,32
308739015,Psoriasis geographica,200966005,308739015,M1615,M161500,191,32
2555281000006114,Acute palmoplantar pustular psoriasis,3533007,1228270014,^ESCTAC255528,,145,32
308741019,Psoriasis inveterata,200968006,308741019,M1618,M161800,106,32
2913641000006118,Sebopsoriasis,25847004,2912919010,^ESCTSE291364,,102,31
6663571000006113,Chronic stable plaque psoriasis,402310007,1781470016,^ESCTCH666357,,79,31
5123891000006117,Eczematised psoriasis,238603004,357616012,^ESCTEC512389,,76,31
5123921000006111,Psoriatic nail dystrophy,238605006,357620011,^ESCTPS512392,,60,31
5123871000006118,Unstable psoriasis,238601002,357613016,^ESCTUN512387,,53,31
4805871000006113,Rupioid psoriasis,200969003,308742014,^ESCTRU480587,,39,32
5123971000006112,Köbner psoriasis,238609000,2818698013,^ESCTKÖ512397,,34,31
14197571000006112,Eczematous psoriasis,238602009,4212204016,^ESCT1419757,,30,31
5123941000006116,Psoriatic nail pitting,238606007,357621010,^ESCTPS512394,,27,31
198841000006110,Psoriasis ostracea,200969003,308742014,M1619,M161900,25,32
308740018,Psoriasis gyrata,200967001,308740018,M1617,M161700,22,32
3821921000006111,Localised pustular psoriasis,81271001,504652017,^ESCTLO382192,,20,31
5123951000006119,Psoriatic onycholysis,238607003,357622015,^ESCTPS512395,,19,31
6663621000006111,Vulval psoriasis,402314003,1787556010,^ESCTVU666362,,18,31
2913591000006111,Seborrhoeic psoriasis,25847004,43312011,^ESCTSE291359,,17,31
4805831000006110,Discoid psoriasis,200965009,308738011,^ESCTDI480583,,13,32
4805991000006118,Exfoliative dermatitis due to psoriasis,200977004,1784830015,^ESCTEX480599,,13,32
4805751000006114,Psoriasis and similar disorders,200955003,308725015,^ESCTPS480575,,12,31
2913601000006115,Seborrheic psoriasis,25847004,43308017,^ESCTSE291360,,11,31
6663721000006115,Facial psoriasis,402320002,1787559015,^ESCTFA666372,,9,31
4805951000006112,Psoriasis vulgaris & (Chronic large plaque psoriasis),200975007,556541000000118,^ESCTPS480595,,8,32
5123861000006113,Inverse psoriasis,238600001,2912676014,^ESCTIN512386,,8,32
5123931000006114,Psoriatic nail involvement,238605006,357619017,^ESCTPS512393,,7,31
6663661000006117,Perianal psoriasis,402316001,1787558011,^ESCTPE666366,,7,31
357612014,Flexural psoriasis,238600001,1876481000006119,ESCTFL1,,6,32
2941451000006110,Chronic palmoplantar pustular psoriasis,27520001,483571011,^ESCTCH294145,,6,32
4541291000006118,History of psoriasis,161562002,2986948013,^ESCTHI454129,,6,32
4805821000006112,Nummular psoriasis,200965009,308737018,^ESCTNU480582,,6,32
5124001000006116,Generalised pustular psoriasis,238612002,357627014,^ESCTGE512400,,6,31
6663591000006114,Acute guttate psoriasis,402312004,1781472012,^ESCTAC666359,,6,31
6663671000006112,Generalised psoriasis,402317005,1773603013,^ESCTGE666367,,6,31
6663751000006112,Hypertrophic palmoplantar psoriasis,402323000,1781482013,^ESCTHY666375,,6,31
5124021000006114,Generalised pustular psoriasis of pregnancy,238613007,357630019,^ESCTGE512402,,5,32
6663651000006119,Psoriasis of perianal skin,402316001,1781476010,^ESCTPS666365,,4,31
3096771000006113,Psoriasis guttata,37042000,61798013,^ESCTPS309677,,3,32
5124051000006117,Juvenile pustular psoriasis,238615000,357632010,^ESCTJU512405,,3,31
6663601000006118,Guttate flare of psoriasis with preexisting plaques,402313009,1781473019,^ESCTGU666360,,3,31
6663741000006110,Hypertrophic palmar psoriasis,402322005,1781481018,^ESCTHY666374,,3,31
3117871000006112,Generalised pustular psoriasis of von Zumbush,38360005,490386015,^ESCTGE311787,,2,31
5123901000006118,Eczematized psoriasis,238603004,357617015,^ESCTEC512390,,2,31
5124041000006119,Pustular psoriasis in children,238614001,357631015,^ESCTPU512404,,2,31
5124061000006115,Infantile pustular psoriasis,238616004,357633017,^ESCTIN512406,,2,31
6663581000006111,Actively extending plaque psoriasis,402311006,1781471017,^ESCTAC666358,,2,31
6663641000006116,Penile psoriasis,402315002,1787557018,^ESCTPE666364,,2,31
6663711000006111,Psoriasis of face,402320002,1781479015,^ESCTPS666371,,2,31
5123981000006110,Kobner psoriasis,238609000,2818697015,^ESCTKO512398,,1,31
6663561000006118,Chronic guttate pattern psoriasis,402309002,1781469017,^ESCTCH666356,,1,31
6663611000006115,Psoriasis of vulva,402314003,1781474013,^ESCTPS666361,,1,31
6663801000006117,Acute generalised pustular flare of preexisting plaque psoriasis,402327004,1773605018,^ESCTAC666380,,1,31
6663821000006110,Childhood pustular psoriasis,402328009,1781485010,^ESCTCH666382,,1,31
7819261000006114,Anogenital psoriasis,721538000,3325411018,^ESCTAN781926,,1,31
13637071000006110,Pustular psoriasis of sole of foot,784327005,3764874011,^ESCT1363707,,1,31
