medcodeid,term,snomedctconceptid,snomedctdescriptionid,originalreadcode,cleansedreadcode,observations,emiscodecategoryid
402860012,Closed fracture of distal end of radius,17222009,29115016,S2342,S234200,627043,32
54541000006116,Closed fracture of wrist,9468002,16583010,S234-1,S234.11,446159,32
402859019,Closed Colles' fracture,269083002,402859019,S2341,S234100,390197,32
793411000006114,Fracture of scaphoid bone of wrist,31975004,53424011,S2420,S242000,318355,32
1229933018,Closed fracture of the scaphoid,42818005,1229933018,S2401,S240100,202674,32
391354016,Fracture of lower end of radius,263199001,391354016,S23B,S23B.00,186747,32
1730651000000118,Greenstick fracture of distal radius,448355005,2900823018,S234G,S234G00,74392,32
5461991000006116,Fracture of distal end of radius,263199001,391353010,^ESCTFR546199,,70108,32
318857019,Closed fracture radial styloid,208325003,318857019,S234B,S234B00,57116,32
511384012,Closed fracture of carpal bone,9468002,511384012,S240,S240.00,19341,32
3034241000006111,Closed fracture of lower end of radius AND ulna,33192001,55392016,^ESCTCL303424,,18524,32
1227288016,Closed fracture triquetral,30632004,1227288016,S2403,S240300,17273,32
895561000006112,Colles fracture,269083002,895561000006112,S2341-99,S234199,13961,32
136121013,Fracture of carpal bone,82065001,136121013,S24,S24..00,13368,32
895551000006110,#Radius/ulna-lower end-colles,269083002,895551000006110,S2341-98,S234198,13078,32
3014891000006114,Fracture of navicular bone of wrist,31975004,53423017,^ESCTFR301489,,12693,32
318846012,Closed fracture of distal end of ulna,50397009,83962012,S2345,S234500,11760,32
318849017,Closed Smith's fracture,208321007,318848013,S2347,S234700,9059,32
1229092011,Closed fracture hamate,37174005,1229092011,S2408,S240800,8583,32
319961016,Closed fracture dislocation of wrist,209264008,319961016,S4C0,S4C0.00,8494,32
1495502013,Wrist fracture - open,88116004,1495502013,S235-1,S235.11,7869,32
1234676011,Hand fracture - carpal bone,82065001,1234676011,S24-1,S24..11,6879,32
895601000006112,#Scaphoid,42818005,895601000006112,S2401-99,S240199,6006,32
3190321000006117,Closed fracture of scaphoid bone of wrist,42818005,71453019,^ESCTCL319032,,5815,32
318859016,Closed extraarticular fracture of distal radius,448838000,2902340010,S234D,S234D00,5762,32
318862018,"Closed fracture distal radius, intra-articular, other type",17222009,29115016,S234E,S234E00,5721,32
5462121000006113,Fracture of distal end of radius and ulna,263208005,391364013,^ESCTFR546212,,5483,32
1231685010,Closed fracture trapezium,57114005,1231685010,S2405,S240500,5451,32
402862016,Open fracture of distal end of radius,25529004,42804019,S2352,S235200,5406,32
133435011,Open Colles' fracture,80411001,133435011,S2351,S235100,5214,32
318919018,"Closed fracture scaphoid, waist, transverse",208371005,318919018,S240B,S240B00,4414,32
793921000006113,Fracture dislocation or subluxation of wrist,209263002,319960015,S4C,S4C..00,3876,32
318848013,Smith's fracture - closed,208321007,318848013,S2341-1,S234111,3688,32
318851018,Closed volar Barton's fracture,208323005,318851018,S2349,S234900,2993,32
1229331011,Closed fracture lunate,37633006,1229331011,S2402,S240200,2763,32
565671000006117,Closed fracture subluxation of the wrist,209283001,319981015,S4C2,S4C2.00,2635,32
1235538018,Closed fracture capitate,90114000,1235538018,S2407,S240700,2335,32
451061019,Closed Barton's fracture,307713000,451061019,S234F,S234F00,2296,32
1230026018,Closed fracture pisiform,43767005,1230026018,S2404,S240400,2214,32
318922016,"Closed fracture scaphoid, tuberosity",208374002,318922016,S240E,S240E00,2152,32
318940017,Fracture of carpal bone NOS,82065001,136121013,S24z,S24z.00,2050,32
4358241000006117,Colles' fracture,123971006,192460015,^ESCTCO435824,,1934,31
318918014,"Closed fracture scaphoid, proximal pole",208370006,318918014,S240A,S240A00,1608,32
1233006016,Open fracture of the scaphoid,68076002,1233006016,S2411,S241100,1248,32
318858012,"Closed fracture distal radius, intra-articular, die-punch",208326002,318858012,S234C,S234C00,1224,32
318923014,"Closed fracture carpal bones, multiple",208375001,318923014,S240F,S240F00,1215,32
5652681000006114,Fracture of radial styloid,281527002,419558010,^ESCTFR565268,,1190,31
3014911000006111,Fracture of scaphoid bone,31975004,1227891011,^ESCTFR301491,,1095,32
318888015,Open fracture radial styloid,208344005,318888015,S235B,S235B00,1087,32
318891015,Open intra-articular fracture of distal radius,849681000000104,2201851000000112,S235E,S235E00,1043,32
1228300012,Closed fracture trapezoid,357009,1228300012,S2406,S240600,1027,32
895591000006116,#Carpal bones,82065001,895591000006116,S24-99,S24..99,956,32
318917016,"Closed fracture hamate, hook",208369005,318917016,S2409,S240900,745,32
318877014,Open fracture of distal end of ulna,649002,2150010,S2355,S235500,623,32
318920012,"Closed fracture scaphoid, waist, oblique",208372003,318920012,S240C,S240C00,596,32
5462081000006111,Fracture of distal end of ulna,263205008,391361017,^ESCTFR546208,,571,31
319970018,Open fracture dislocation wrist,209273000,319970018,S4C1,S4C1.00,549,32
5460821000006115,Fracture subluxation of wrist,263102004,391219013,^ESCTFR546082,,484,32
2993591000006110,Closed fracture of triquetral bone of wrist,30632004,51270013,^ESCTCL299359,,449,32
