"medcodeid","term","snomedctconceptid","snomedctdescriptionid","originalreadcode","cleansedreadcode","observations","condition"
"94884017","Acute myocardial infarction","57054005","94884017","G30","G30..00",2008762,"Myocardial infarction"
"1780501013","Acute non-ST segment elevation myocardial infarction","401314000","1780501013","G3071","G307100",685257,"Myocardial infarction"
"219531000000117","MI - acute myocardial infarction","57054005","94884017","G30-5","G30..15",359080,"Myocardial infarction"
"1780491019","Acute ST segment elevation myocardial infarction","401303003","1780491019","G30X0","G30X000",297045,"Myocardial infarction"
"299714019","Acute myocardial infarction of inferior wall","73795002","122557015","G308","G308.00",122211,"Myocardial infarction"
"4031011","Old myocardial infarction","1755008","4031011","G32","G32..00",77398,"Myocardial infarction"
"299721019","Acute myocardial infarction NOS","57054005","94884017","G30z","G30z.00",74221,"Myocardial infarction"
"299709018","Anterior myocardial infarction NOS","54329005","1231324017","G301z","G301z00",31380,"Myocardial infarction"
"455641000006112","Acute anterolateral myocardial infarction","70211005","1233238016","G300","G300.00",19526,"Myocardial infarction"
"457531000006110","Acute inferolateral myocardial infarction","65547006","1232697013","G302","G302.00",13392,"Myocardial infarction"
"37443015","Heart attack","22298006","37443015","G30-4","G30..14",13390,"Myocardial infarction"
"2855301000006112","Myocardial infarction","22298006","37436014","^ESCTMY285530","",10808,"Myocardial infarction"
"299707016","Acute anterior myocardial infarction","54329005","1231324017","G301","G301.00",9430,"Myocardial infarction"
"230021000006115","Personal history of myocardial infarction","399211009","2986492018","G32-2","G32..12",8064,"Myocardial infarction"
"884151000006119","Myocardial Infarction","57054005","884151000006119","G30-99","G30..99",7809,"Myocardial infarction"
"256452010","ECG: myocardial infarction","164865005","256452010","323","323..00",6842,"Myocardial infarction"
"299710011","Acute posterior myocardial infarction","233838001","350371016","G304","G304.00",6135,"Myocardial infarction"
"256454011","ECG: old myocardial infarction","164867002","256454011","3232","3232.00",6094,"Myocardial infarction"
"455651000006114","Acute anteroseptal myocardial infarction","62695002","104192010","G3011","G301100",5879,"Myocardial infarction"
"905351000006113","[RFC] Reason for care : Myocardial infarction (MI)","905351000006109","905351000006113","HNG0009","",4762,"Myocardial infarction"
"350376014","Silent myocardial infarction","233843008","350376014","G30-7","G30..17",3806,"Myocardial infarction"
"1738171000006114","History of myocardial infarction","399211009","2986492018","14AT","14AT.00",3704,"Myocardial infarction"
"1786197015","Coronary thrombosis","398274000","1786197015","G30-2","G30..12",3612,"Myocardial infarction"
"299711010","Acute lateral myocardial infarction","58612006","1231860015","G305","G305.00",3586,"Myocardial infarction"
"6651391000006114","NSTEMI - Non-ST segment elevation MI","401314000","1787486017","^ESCTNS665139","",3012,"Myocardial infarction"
"451369010","H/O: Myocardial infarction in last year","308065005","451369010","14AH","14AH.00",2526,"Myocardial infarction"
"299718016","Other acute myocardial infarction","57054005","94884017","G30y","G30y.00",2315,"Myocardial infarction"
"7571581000006113","Acute anterior ST segment elevation myocardial infarction","703164000","3007817016","^ESCTAC757158","",1973,"Myocardial infarction"
