"medcodeid","term","snomedctconceptid","snomedctdescriptionid","originalreadcode","cleansedreadcode","observations","condition"
"431681000006117","Vascular dementia","429998004","2770951017","Eu01","Eu01.00",830687,"Vascular dementia"
"497559016","Arteriosclerotic dementia","56267009","497559016","E004","E004.00",63937,"Vascular dementia"
"696161000006115","Multi-infarct dementia","56267009","93568017","E004-1","E004.11",42240,"Vascular dementia"
"295681016","[X]Vascular dementia, unspecified","429998004","2770951017","Eu01z","Eu01z00",28443,"Vascular dementia"
"398571000006112","Mixed cortical and subcortical vascular dementia","230287006","345112018","Eu013","Eu01300",16077,"Vascular dementia"
"399031000006111","[X]Multi-infarct dementia","56267009","93568017","Eu011","Eu01100",12896,"Vascular dementia"
"428201000006119","Subcortical vascular dementia","230286002","345111013","Eu012","Eu01200",10269,"Vascular dementia"
"3414251000006112","VAD - Vascular dementia","56267009","497560014","^ESCTVA341425","",10242,"Vascular dementia"
"363791000006112","[X]Arteriosclerotic dementia","56267009","497559016","Eu01-1","Eu01.11",7974,"Vascular dementia"
"294656010","Arteriosclerotic dementia NOS","56267009","497559016","E004z","E004z00",2513,"Vascular dementia"
"295680015","[X]Other vascular dementia","429998004","2770951017","Eu01y","Eu01y00",2355,"Vascular dementia"
"914921000006117","[D] Vascular dementia","914921000006101","914921000006117","EMISNQDV1","",1984,"Vascular dementia"
"431691000006119","Vascular dementia of acute onset","230285003","345110014","Eu010","Eu01000",1832,"Vascular dementia"
"294652012","Uncomplicated arteriosclerotic dementia","191463004","294652012","E0040","E004000",1355,"Vascular dementia"
"1976831000006111","Vascular dementia, unspecified, other mixed symptoms","1976831000006107","1976831000006111","EMISICD10|F0194","",915,"Vascular dementia"
"294655014","Arteriosclerotic dementia with depression","191466007","294655014","E0043","E004300",846,"Vascular dementia"
"1973401000006112","Other vascular dementia, other mixed symptoms","1973401000006108","1973401000006112","EMISICD10|F0184","",547,"Vascular dementia"
"294654013","Arteriosclerotic dementia with paranoia","191465006","294654013","E0042","E004200",446,"Vascular dementia"
"8089231000006110","Vascular dementia with behavioural disturbance","288631000119104","3289994019","^ESCTVA808923","",294,"Vascular dementia"
"3635492010","Subcortical dementia","762707000","3635492010","^ESCT1169441","",173,"Vascular dementia"
"1973461000006113","Vascular dementia, unspecified, without additional symptoms","1973461000006109","1973461000006113","EMISICD10|F0190","",130,"Vascular dementia"
"13934381000006118","Cortical vascular dementia","833326008","3884948011","^ESCT1393438","",129,"Vascular dementia"
"294653019","Arteriosclerotic dementia with delirium","191464005","294653019","E0041","E004100",116,"Vascular dementia"
"1972931000006117","Mixed cortical and subcortical vascular dementia, other mixed symptoms","1972931000006101","1972931000006117","EMISICD10|F0134","",116,"Vascular dementia"
"7840631000006118","Ischaemic vascular dementia","723123001","3334662012","^ESCTIS784063","",89,"Vascular dementia"
"1972681000006112","Multi-infarct dementia, other mixed symptoms","1972681000006108","1972681000006112","EMISICD10|F0114","",83,"Vascular dementia"
"9902251000006117","Vascular dementia without behavioural disturbance","16276361000119109","3447365013","^ESCTVA990225","",65,"Vascular dementia"
"2729791000000114","Predominantly cortical vascular dementia","1089531000000108","2729791000000114","^ESCT1171774","",48,"Vascular dementia"
"1972791000006115","Subcortical vascular dementia, other mixed symptoms","1972791000006104","1972791000006115","EMISICD10|F0124","",25,"Vascular dementia"
"1972821000006112","Mixed cortical and subcortical vascular dementia, without additional symptoms","1972821000006108","1972821000006112","EMISICD10|F0130","",24,"Vascular dementia"
"1972571000006110","Vascular dementia of acute onset, other mixed symptoms","1972571000006106","1972571000006110","EMISICD10|F0104","",23,"Vascular dementia"
"1972481000006114","Vascular dementia of acute onset, without additional symptoms","1972481000006105","1972481000006114","EMISICD10|F0100","",17,"Vascular dementia"
"5011261000006110","Multi-infarct state","230704000","345662012","^ESCTMU501126","",17,"Vascular dementia"
"1972751000006114","Subcortical vascular dementia, other symptoms, predominantly hallucinatory","1972751000006105","1972751000006114","EMISICD10|F0122","",14,"Vascular dementia"
"14805251000006118","Behavioural disturbance due to multi-infarct dementia","293671000119109","5025336010","^ESCT1480525","",14,"Vascular dementia"
"1973221000006118","Other vascular dementia, without additional symptoms","1973221000006102","1973221000006118","EMISICD10|F0180","",12,"Vascular dementia"
"2664601000006115","Multi-infarct dementia with delirium","10349009","18020012","^ESCTMU266460","",12,"Vascular dementia"
"1973551000006112","Vascular dementia, unspecified, other symptoms, predominantly depressive","1973551000006108","1973551000006112","EMISICD10|F0193","",10,"Vascular dementia"
"8033241000006113","Multi-infarct dementia due to atherosclerosis","106021000119105","3306365017","^ESCTMU803324","",10,"Vascular dementia"
"1973271000006117","Other vascular dementia, other symptoms, predominantly delusional","1973271000006101","1973271000006117","EMISICD10|F0181","",6,"Vascular dementia"
"1972711000006113","Subcortical vascular dementia, without additional symptoms","1972711000006109","1972711000006113","EMISICD10|F0120","",5,"Vascular dementia"
"1972771000006116","Subcortical vascular dementia, other symptoms, predominantly depressive","1972771000006100","1972771000006116","EMISICD10|F0123","",5,"Vascular dementia"
"1972831000006110","Mixed cortical and subcortical vascular dementia, other symptoms, predominantly delusional","1972831000006106","1972831000006110","EMISICD10|F0131","",5,"Vascular dementia"
"1973341000006118","Other vascular dementia, other symptoms, predominantly hallucinatory","1973341000006102","1973341000006118","EMISICD10|F0182","",5,"Vascular dementia"
"1973501000006113","Vascular dementia, unspecified, other symptoms, predominantly delusional","1973501000006109","1973501000006113","EMISICD10|F0191","",5,"Vascular dementia"
"1973531000006117","Vascular dementia, unspecified, other symptoms, predominantly hallucinatory","1973531000006101","1973531000006117","EMISICD10|F0192","",5,"Vascular dementia"
"2664611000006117","Vascular dementia, with delirium","10349009","18021011","^ESCTVA266461","",5,"Vascular dementia"
"7515061000006117","Vascular dementia in remission","698948009","2981750014","^ESCTVA751506","",5,"Vascular dementia"
"1972501000006116","Vascular dementia of acute onset, other symptoms, predominantly delusional","1972501000006100","1972501000006116","EMISICD10|F0101","",4,"Vascular dementia"
"3414261000006114","Multi infarct dementia","56267009","2921000019","^ESCTMU341426","",4,"Vascular dementia"
"1972871000006113","Mixed cortical and subcortical vascular dementia, other symptoms, predominantly hallucinatory","1972871000006109","1972871000006113","EMISICD10|F0132","",3,"Vascular dementia"
"3964651000006112","Subcortical arteriosclerotic encephalopathy","90099008","1235535015","^ESCTSU396465","",3,"Vascular dementia"
"8089241000006117","Vascular dementia with behavioral disturbance","288631000119104","3290002019","^ESCTVA808924","",3,"Vascular dementia"
"1972661000006119","Multi-infarct dementia, other symptoms, predominantly depressive","1972661000006103","1972661000006119","EMISICD10|F0113","",2,"Vascular dementia"
"1973381000006112","Other vascular dementia, other symptoms, predominantly depressive","1973381000006108","1973381000006112","EMISICD10|F0183","",2,"Vascular dementia"
"2722931000006114","Multi-infarct dementia with depression","14070001","23960010","^ESCTMU272293","",2,"Vascular dementia"
"2912321000006113","Multi-infarct dementia with delusions","25772007","43182011","^ESCTMU291232","",2,"Vascular dementia"
"3964661000006114","Subcortical atherosclerotic dementia","90099008","1235536019","^ESCTSU396466","",2,"Vascular dementia"
"1972621000006113","Multi-infarct dementia, other symptoms, predominantly delusional","1972621000006109","1972621000006113","EMISICD10|F0111","",1,"Vascular dementia"
"1972731000006119","Subcortical vascular dementia, other symptoms, predominantly delusional","1972731000006103","1972731000006119","EMISICD10|F0121","",1,"Vascular dementia"
"1972911000006111","Mixed cortical and subcortical vascular dementia, other symptoms, predominantly depressive","1972911000006107","1972911000006111","EMISICD10|F0133","",1,"Vascular dementia"
"2912331000006111","Vascular dementia, with delusions","25772007","43183018","^ESCTVA291233","",1,"Vascular dementia"
"3414231000006117","MID - Multi-infarct dementia","56267009","497558012","^ESCTMI341423","",1,"Vascular dementia"
"3653671000006113","Multi-infarct dementia, uncomplicated","70936005","117833018","^ESCTMU365367","",1,"Vascular dementia"
"7840641000006111","Ischemic vascular dementia","723123001","3334661017","^ESCTIS784064","",1,"Vascular dementia"
