"medcodeid","term","snomedctconceptid","snomedctdescriptionid","originalreadcode","cleansedreadcode","observations","condition"
"54541000006116","Closed fracture of wrist","9468002","16583010","S234-1","S234.11",446159,"Wrist fracture"
"402859019","Closed Colles' fracture","269083002","402859019","S2341","S234100",390197,"Wrist fracture"
"793411000006114","Fracture of scaphoid bone of wrist","31975004","53424011","S2420","S242000",318355,"Wrist fracture"
"391354016","Fracture of lower end of radius","263199001","391354016","S23B","S23B.00",186747,"Wrist fracture"
"1730651000000118","Greenstick fracture of distal radius","448355005","2900823018","S234G","S234G00",74392,"Wrist fracture"
"318936014","Fracture at wrist and hand level","208388003","318936014","S242","S242.00",61845,"Wrist fracture"
"387591000006110","Fracture at wrist and/or hand level","208388003","1489807015","Syu65","Syu6500",31090,"Wrist fracture"
"511384012","Closed fracture of carpal bone","9468002","511384012","S240","S240.00",19341,"Wrist fracture"
"3034241000006111","Closed fracture of lower end of radius AND ulna","33192001","55392016","^ESCTCL303424","",18524,"Wrist fracture"
"895561000006112","Colles fracture","269083002","895561000006112","S2341-99","S234199",13961,"Wrist fracture"
"136121013","Fracture of carpal bone","82065001","136121013","S24","S24..00",13368,"Wrist fracture"
"895551000006110","#Radius/ulna-lower end-colles","269083002","895551000006110","S2341-98","S234198",13078,"Wrist fracture"
"3014891000006114","Fracture of navicular bone of wrist","31975004","53423017","^ESCTFR301489","",12693,"Wrist fracture"
"318849017","Closed Smith's fracture","208321007","318848013","S2347","S234700",9059,"Wrist fracture"
"319961016","Closed fracture dislocation of wrist","209264008","319961016","S4C0","S4C0.00",8494,"Wrist fracture"
"1234676011","Hand fracture - carpal bone","82065001","1234676011","S24-1","S24..11",6879,"Wrist fracture"
"391366010","Fracture of lower end of both ulna and radius","263208005","391366010","S23C","S23C.00",6589,"Wrist fracture"
"3190321000006117","Closed fracture of scaphoid bone of wrist","42818005","71453019","^ESCTCL319032","",5815,"Wrist fracture"
"318859016","Closed extraarticular fracture of distal radius","448838000","2902340010","S234D","S234D00",5762,"Wrist fracture"
"318862018","Closed fracture distal radius, intra-articular, other type","17222009","29115016","S234E","S234E00",5721,"Wrist fracture"
"133435011","Open Colles' fracture","80411001","133435011","S2351","S235100",5214,"Wrist fracture"
"322029018","Sequelae of fracture at wrist and hand level","210958007","322029018","SC3C0","SC3C000",5059,"Wrist fracture"
"793921000006113","Fracture dislocation or subluxation of wrist","209263002","319960015","S4C","S4C..00",3876,"Wrist fracture"
"318848013","Smith's fracture - closed","208321007","318848013","S2341-1","S234111",3688,"Wrist fracture"
"318851018","Closed volar Barton's fracture","208323005","318851018","S2349","S234900",2993,"Wrist fracture"
"565671000006117","Closed fracture subluxation of the wrist","209283001","319981015","S4C2","S4C2.00",2635,"Wrist fracture"
"451061019","Closed Barton's fracture","307713000","451061019","S234F","S234F00",2296,"Wrist fracture"
"318940017","Fracture of carpal bone NOS","82065001","136121013","S24z","S24z.00",2050,"Wrist fracture"
"4358241000006117","Colles' fracture","123971006","192460015","^ESCTCO435824","",1934,"Wrist fracture"
