"condition","medcodeid","term","snomedctconceptid","snomedctdescriptionid","originalreadcode","cleansedreadcode","emiscodecategoryid","observations"
"Myocardial infarction","4031011","Old myocardial infarction","1755008","4031011","G32","G32..00",32,77398
"Myocardial infarction","4032016","Healed myocardial infarction","1755008","4032016","G32-1","G32..11",32,1059
"Myocardial infarction","37443015","Heart attack","22298006","37443015","G30-4","G30..14",32,13390
"Myocardial infarction","94884017","Acute myocardial infarction","57054005","94884017","G30","G30..00",32,2008762
"Myocardial infarction","109915012","Post-myocardial infarction syndrome","66189004","500341014","G310","G310.00",32,426
"Myocardial infarction","109916013","Dressler's syndrome","66189004","109916013","G310-1","G310.11",32,93
"Myocardial infarction","208365015","Postoperative myocardial infarction","129574000","208365015","G38","G38..00",32,1018
"Myocardial infarction","299707016","Acute anterior myocardial infarction","54329005","1231324017","G301","G301.00",32,9430
"Myocardial infarction","299709018","Anterior myocardial infarction NOS","54329005","1231324017","G301z","G301z00",32,31380
"Myocardial infarction","299710011","Acute posterior myocardial infarction","233838001","350371016","G304","G304.00",32,6135
"Myocardial infarction","299711010","Acute lateral myocardial infarction","58612006","1231860015","G305","G305.00",32,3586
"Myocardial infarction","299712015","True posterior myocardial infarction","194802003","299712015","G306","G306.00",32,589
"Myocardial infarction","299714019","Acute myocardial infarction of inferior wall","73795002","122557015","G308","G308.00",32,122211
"Myocardial infarction","299718016","Other acute myocardial infarction","57054005","94884017","G30y","G30y.00",32,2315
"Myocardial infarction","299720018","Other acute myocardial infarction NOS","57054005","94884017","G30yz","G30yz00",32,692
"Myocardial infarction","299721019","Acute myocardial infarction NOS","57054005","94884017","G30z","G30z.00",32,74221
"Myocardial infarction","299808017","Subsequent myocardial infarction","194856005","299808017","G35","G35..00",32,942
"Myocardial infarction","299811016","Subsequent myocardial infarction of anterior wall","194857001","299811016","G350","G350.00",32,164
"Myocardial infarction","299812011","Subsequent myocardial infarction of inferior wall","194858006","299812011","G351","G351.00",32,285
"Myocardial infarction","299813018","Subsequent myocardial infarction of other sites","194856005","299808017","G353","G353.00",32,26
"Myocardial infarction","300881018","[X]Subsequent myocardial infarction of other sites","194856005","299808017","Gyu35","Gyu3500",32,6
"Myocardial infarction","300882013","[X]Subsequent myocardial infarction of unspecified site","194856005","299808017","Gyu36","Gyu3600",32,19
"Myocardial infarction","350376014","Silent myocardial infarction","233843008","350376014","G30-7","G30..17",32,3806
"Myocardial infarction","451369010","H/O: Myocardial infarction in last year","308065005","451369010","14AH","14AH.00",32,2526
"Myocardial infarction","455422014","Postoperative subendocardial myocardial infarction","311796008","455422014","G384","G384.00",32,282
"Myocardial infarction","455423016","Postoperative myocardial infarction, unspecified","129574000","208365015","G38z","G38z.00",32,104
"Myocardial infarction","1780491019","Acute ST segment elevation myocardial infarction","401303003","1780491019","G30X0","G30X000",32,297045
"Myocardial infarction","1780501013","Acute non-ST segment elevation myocardial infarction","401314000","1780501013","G3071","G307100",32,685257
"Myocardial infarction","1786197015","Coronary thrombosis","398274000","1786197015","G30-2","G30..12",32,3612
"Myocardial infarction","2619484018","MI - Myocardial infarction aborted","194821006","2619484018","G3110-1","G311011",32,83
"Myocardial infarction","3526080018","Mural thrombus of right ventricle following acute myocardial infarction","736978009","3526080018","^ESCT1167259","",32,14
"Myocardial infarction","67081000006119","Ventricular septal defect as current complication following acute myocardial infarction","233846000","350381017","G362","G362.00",32,79
"Myocardial infarction","100681000006116","Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction","194868001","299824016","G366","G366.00",32,240
"Myocardial infarction","118831000006118","Subsequent myocardial infarction of unspecified site","194856005","299808017","G35X","G35X.00",32,65
"Myocardial infarction","158601000006116","Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction","194865003","299821012","G363","G363.00",32,15
"Myocardial infarction","158611000006118","Rupture of chordae tendinae as current complication following acute myocardial infarction","194866002","299822017","G364","G364.00",32,6
