OriginalReadCode,Term,required
M113,Flexural eczema,1
M112,Infantile eczema,1
M11,Atopic dermatitis,1
M115,Besnier's prurigo,1
M11z,Atopic dermatitis NOS,1
M114,Allergic (intrinsic) eczema,1
M111,Atopic dermatitis/eczema,1
M117,Atopic neurodermatitis,1
M111-98,Atopic eczema/dermatitis,1
M11z-99,Atopic eczema/dermatitis NOS,1
^ESCTAC267510,Acute infantile eczema,0
^ESCTAT288430,Atopic eczema,1
^ESCTAD288434,AD - Atopic dermatitis,1
^ESCTCO512283,Constitutional eczema,0
^ESCTAT512285,Atopic dermatitis of hands,1
^ESCTAT512286,Atopic eczema of hands,1
^ESCTIN512287,Inverse pattern atopic dermatitis,1
^ESCTDI512288,Discoid atopic dermatitis,1
^ESCTDI512289,Discoid pattern atopic dermatitis,1
^ESCTDI512290,Discoid pattern atopic eczema,1
^ESCTER512291,Erythrodermic atopic dermatitis,1
^ESCTER512292,Erythrodermic atopic eczema,1
^ESCTFO512293,Follicular atopic dermatitis,1
^ESCTFO512294,Follicular atopic eczema,1
^ESCTPR512295,Pruriginous atopic dermatitis,1
^ESCTPR512296,Pruriginous atopic eczema,1
^ESCTPH512297,Photosensitive atopic dermatitis,1
^ESCTPH512299,Photosensitive atopic eczema,1
^ESCTPH512300,Photoaggravated atopic dermatitis,1
^ESCTPH512301,Photoaggravated atopic eczema,1
^ESCTCO512302,Constitutional eczema of hands and feet,0
^ESCTCO512309,Constitutional eczema of hands,0
^ESCTCO512317,Constitutional fingertip eczema,0
^ESCTCO512318,Constitutional eczema of feet,0
^ESCTCH598917,Chronic lichenified atopic dermatitis,1
^ESCTCH598918,Chronic lichenified atopic eczema,1
^ESCTFL666116,Flexural atopic dermatitis,1
^ESCTFL666117,Flexural atopic eczema,1
^ESCTGE666120,Generalised atopic dermatitis,1
^ESCTGE666122,Generalised atopic eczema,1
^ESCTPR666124,Prurigo pattern atopic dermatitis,1
^ESCTXE666127,Xerosis due to atopic dermatitis,1
^ESCTAT666130,Atopic dermatitis of scalp,1
^ESCTAT666131,Atopic eczema of scalp,1
^ESCTAT666132,Atopic dermatitis of face,1
^ESCTAT666133,Atopic eczema of face,1
^ESCTAT666134,Atopic dermatitis of eyelid,1
^ESCTAT666136,Atopic dermatitis of eyelids,1
^ESCTCH666138,Cheilitis due to atopic eczema,1
^ESCTIN666139,Infantile atopic dermatitis,1
^ESCTIN666140,Infantile atopic eczema,1
^ESCTCH666141,Childhood atopic dermatitis,1
^ESCTCH666142,Childhood atopic eczema,1
^ESCTAD666143,Adult atopic dermatitis,1
^ESCTAD666144,Adult atopic eczema,1
^ESCTAD666146,Adult atopic eczema persistent from childhood,1
^ESCTAD666148,Adult atopic eczema recurrent in adult life,1
^ESCTIM666151,Impetiginized atopic dermatitis,1
^ESCTIN666152,Infected atopic dermatitis,1
^ESCT1379223,Constitutional eczema of hand,0
^ESCT1379225,Constitutional eczema of foot,0
^ESCT1450246,Atopic dermatitis of bilateral hands,1
^ESCT1450704,Acute atopic dermatitis of hand,1
^ESCT1500750,Childhood generalised erythematous atopic dermatitis,1
M1831,Neurodermatitis,0
M102-1,Pustular eczema,0
14F1,H/O: eczema,0
A540,Eczema herpeticum - Kaposi's varicelliform eruption,0
Myu2,[X]Dermatitis and eczema,0
M12z3,Hand eczema,0
M116,Neurodermatitis - diffuse,0
M116-1,Brocq's neurodermatitis,0
M12z1,Eczema,0
M102,Infectious eczematoid dermatitis,0
F5024-1,Eczema of external ear,0
M11A,Asteatotic eczema,0
M12z4,Erythrodermic eczema,0
M12z2,Infected eczema,0
F5024,Acute eczematoid otitis extern,0
^ESCT1167456,Eczema of male genitalia,0
^ESCT1169098,Eczema of lower leg,0
C3912-1,Thrombocytopenic eczema with immunodeficiency,0
M07y-1,Pustular eczema,0
M2522,Vesicular hand eczema,0
M119,Discoid eczema,0
M12z1-1,Discoid eczema,0
M252,Vesicular eczema of hands and/or feet,0
26C4,Eczema of nipple,0
M111-97,Dermatitis/eczemas NOS,0
M111-99,Dermatitis/eczemas,0
M116-99,Neurodermatitis,0
