OriginalReadCode,Term,required
M25y1-1,Hidradenitis suppurativa,1
M25y1,Hidradenitis,0
EGTON66,Hydradenitis suppurativa,1
^ESCTHI346451,Hidradenitis axillaris,0
^ESCTVE346453,Verneuil's disease,1
^ESCTSU346454,Suppurative hidradenitis,1
^ESCTRE667046,Retro-auricular cysts (hidradenitis),0
^ESCTAX667047,Axillary hidradenitis suppurativa,1
^ESCTAN667048,Anogenital hidradenitis suppurativa,1
^ESCTVU667049,Vulval hidradenitis suppurativa,1
^ESCTFO669402,"Follicular occlusion triad - hidradenitis, acne conglobata, dissecting cellulitis of scalp",0
^ESCT1501708,Hidradenitis suppurativa of multiple sites,1
^ESCTFO669403,Follicular occlusion triad,0
^ESCTFO669405,Follicular occlusion tetrad,0
